Question,Answer
"hello","Hi Zain! How can I help you with your CodeAlpha internship today?"
"hi","Hello! I am your AI assistant. How can I assist you?"
"hey","Hey there! Ready to work on some AI tasks?"
"bye","Goodbye! Good luck with your internship tasks."
"goodbye","Take care! Don't forget to submit your tasks on time."
"what is ai","Artificial Intelligence (AI) is the simulation of human intelligence by machines, especially computer systems."
"what is machine learning","Machine Learning (ML) is a branch of AI that allows computers to learn from data without being explicitly programmed."
"what is deep learning","Deep Learning is a subset of ML based on artificial neural networks with many layers (hence 'deep')."
"what is nlp","Natural Language Processing (NLP) is the ability of a computer program to understand human speech as it is spoken and written."
"what is python","Python is a high-level programming language famous for its simplicity and use in AI/ML."
"what is a chatbot","A chatbot is an AI-powered software designed to simulate conversation with human users."
"what is computer vision","Computer Vision is a field of AI that trains computers to interpret and understand the visual world from images and videos."
"what is supervised learning","Supervised learning is where the model is trained on a labeled dataset (input-output pairs)."
"what is unsupervised learning","Unsupervised learning is where the model finds patterns in data that does not have pre-existing labels."
"what is reinforcement learning","It is learning by trial and error, where an agent gets rewards for correct actions and penalties for wrong ones."
"what is a neural network","A neural network is a network of artificial neurons inspired by the human brain to process complex data patterns."
"what is over-fitting","Overfitting occurs when a model learns the training data too well, including the noise, and fails on new data."
"what is under-fitting","Underfitting happens when a model is too simple to capture the underlying trend of the data."
"what is a tensor","A tensor is a mathematical object that generalizes scalars, vectors, and matrices to higher dimensions."
"what is big data","Big data refers to extremely large datasets that may be analyzed computationally to reveal patterns and trends."
"what is data mining","Data mining is the process of discovering patterns and knowledge from large amounts of data."
"what is an algorithm","An algorithm is a set of step-by-step instructions for solving a problem or performing a task."
"what is bias in ai","Bias refers to error introduced by approximating a real-life problem with a simplified model, often leading to unfair results."
"what is variance","Variance is the model's sensitivity to small fluctuations in the training set."
"what is an epoch","An epoch is one complete pass of the entire training dataset through the neural network."
"what is a batch","A batch is a subset of the training data used to update the model weights in one iteration."
"what is activation function","It is a mathematical function added to an artificial neural network to help it learn complex patterns in data."
"what is sigmoid function","Sigmoid is an activation function that maps input values to a range between 0 and 1."
"what is relu","ReLU (Rectified Linear Unit) is an activation function that outputs the input directly if it is positive, otherwise zero."
"what is cnn","CNN (Convolutional Neural Network) is a class of deep neural networks most commonly applied to analyzing visual imagery."
"what is rnn","RNN (Recurrent Neural Network) is a type of neural network designed for sequential data like text or time-series."
"what is gan","GAN (Generative Adversarial Network) consists of two networks (Generator and Discriminator) competing to create realistic data."
"what is transfer learning","Transfer learning is using a pre-trained model on a new, similar task to save time and resources."
"what is yolo","YOLO (You Only Look Once) is a popular real-time object detection system."
"what is opencv","OpenCV is an open-source computer vision and machine learning software library."
"what is nltk","NLTK (Natural Language Toolkit) is a leading platform for building Python programs to work with human language data."
"what is scikit-learn","Scikit-learn is a Python library for machine learning providing simple and efficient tools for predictive data analysis."
"what is pandas","Pandas is a fast, powerful, and flexible open-source data analysis and manipulation tool for Python."
"what is numpy","NumPy is the fundamental package for scientific computing with Python, adding support for large, multi-dimensional arrays."
"what is backpropagation","Backpropagation is the primary algorithm for training neural networks by calculating gradients of the loss function."
"what is a loss function","A loss function measures how well a model's prediction matches the actual target data."
"what is gradient descent","Gradient descent is an optimization algorithm used to minimize the loss function by iteratively moving toward the local minimum."
"what is an outlier","An outlier is a data point that differs significantly from other observations in the dataset."
"what is classification","Classification is a supervised learning task where the model predicts a discrete category or label."
"what is regression","Regression is a supervised learning task where the model predicts a continuous numerical value."
"what is clustering","Clustering is an unsupervised learning task of grouping similar data points together."
"what is k-means","K-means is a popular clustering algorithm that partitions data into K distinct clusters."
"what is pca","PCA (Principal Component Analysis) is a technique used for dimensionality reduction by transforming variables into a new set of variables."
"what is f1 score","F1 score is the harmonic mean of precision and recall, providing a single metric for model performance."
"what is precision","Precision is the ratio of correctly predicted positive observations to the total predicted positives."
"what is recall","Recall is the ratio of correctly predicted positive observations to all observations in the actual class."
"what is cross-validation","Cross-validation is a technique for assessing how the results of a statistical analysis will generalize to an independent data set."
"what is random forest","Random Forest is an ensemble learning method that operates by constructing a multitude of decision trees."
"what is svm","SVM (Support Vector Machine) is a supervised learning model used for classification and regression analysis."
"what is turing test","The Turing Test is a test of a machine's ability to exhibit intelligent behavior equivalent to, or indistinguishable from, that of a human."
"what is singularity","Singularity is a hypothetical point in the future when technological growth becomes uncontrollable and irreversible, resulting in unfathomable changes to human civilization."
"what is agi","AGI (Artificial General Intelligence) is the intelligence of a machine that can understand or learn any intellectual task that a human being can."
"what is narrow ai","Narrow AI is AI designed and trained for a particular task (like facial recognition or internet searches)."
"what is generative ai","Generative AI refers to AI models that can generate new content, such as text, images, or music."
